ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
A63915A436EDa536,electric_bike,2024-01-12 22:57:32,2023-12-15 22:57:32,2ND ST & MASSACHUSETTS AVE NE,31641,Park Rd & Holmead Pl NW,31602,38.894998333333334,-77.0032275,38.9308,-77.0315,member
4A 9A BA EB 9E 54 00 8A,electric_bike,20240124 18:01:59,20240124 18:10:41,8th & V St NW,31134,8th & H St NW,31228,38.917883039,-77.022804499,,-77.023086,member
2A217A056D01E440,electric_bike,2024-01-03 19:56:47,2023-12-20 19:56:47,Eastern Market / 7th & North Carolina Ave SE,31610,L'Enfant  Plaza  /  7th  &  C  St  SW,31218,38.886947513,-76.996779561,38.886266,-77.022241,casual
835Ce4BBeDA16f5e,classic_bike,2024-01-10 23:42:47,2024-01-10 23:46:45,,31100,18th & M St NW,31221,38.9003,-77.0429,,,membr
95 72 21 2E 3C 4C FE C9,classic_bike,,2024-01-23 23:07:46,New Hampshire Ave & Ward Pl NW,31212.1,8th & O St NW,31281,38.90571079190728,-77.0473176240921,,,member
D076FFF67560F415,classic_bike,2024-01-19 18:59:38,2024-01-19 19:08:04,13th & U St NW,31132,18th & M St NW,31221,38.91693645323652,-77.0296311378479,38.90506687455313,,casual
FFCEAF776976CFBE,electric_bike,2024-01-24 06:57:25,2024-01-24 07:03:21,Georgia Ave & Piney Branch Rd NW,31414,Takoma Metro,31408.1,38.96750617,-77.027887344,38.975219,-77.016855,MEMBER
AC 41 51 4E 54 78 8C 23,classic_bike,2024-01-03 06:42:26,2024-01-03 07:14:35,11th & S St NW,31280,Anacostia Ave & Benning Rd NE / River Terrace ,31708,38.91360117514392,-77.02711522579193,38.896544,-76.96012,member
95 D0 05 0E 53 B4 F5 5A,electric_bike,20240107 16:03:34,20240107 16:19:09,39th & Calvert St NW / Stoddert,31306,,31312,38.922655582,-77.077269077,38.90849,-77.063586,Member
F20EE3C1B06028E0,classic_bike,2024/01/24 18:20:39,20240124 18:31:56,13th & U St NW,31132,18th St and Wyoming Ave NW,31114,,,38.918809,-77.041571,member
7FE1AFB18B07A24F,electric_bike,2024-01-13 23:31:35,2024-01-13 03:31:35,17th & P St NW,31330,13th & U St NW,31132,,,38.91693645323652,-77.0296311378479,member
7C78680EA8801194,classic_bike,2024-01-12 11:39:47,2024-01-12 11:54:37,M ST & DELAWARE AVE NE,31627,New Jersey Ave & H St SE,31828,38.905690963097,-77.00320065021515,38.88076072595064,-77.00574070215225,member
30782f2976d1D3da,classic_bike,2024-01-13 23:09:06,2023-12-23 23:09:06,Georgia & Missouri Ave NW,31411,Kansas Ave & Longfellow St NW,31423,,,,,member
536B353090699981,electric_bike,2024-01-02 19:41:02,2024-01-02 19:45:13,17th & Corcoran St NW,31215,Connecticut Ave & R St NW,31299,38.912091732,-77.038378,38.912644,-77.04564,member
D3B9D3B10F5EFA2F,classic_bike,2024-01-25 13:55:52,2024-01-25 14:00:07,Main Line Blvd & E Glebe,31959,Potomac Ave & Main Line Blvd,31910,38.832431,-77.049772,38.822738,-77.049265,casual
02F1DE389FF3C25A,classic_bike,2024-01-07 16:10:23,2024-01-06 23:10:23,4th St & Madison Dr NW,31289,Jefferson Dr & 14th St SW,31247,38.8904955,-77.0172465,38.8885525,,casual
